TribeID,AgainstCode,WarID
100,1,217
100,1,230
100,1,242
100,1,247
101,1,232
101,1,234
101,1,235
101,1,236
101,1,239
101,1,241
102,1,210
103,1,228
103,1,233
103,1,244
104,1,212
105,0,200
106,1,200
107,1,216
107,1,222
108,0,206
108,0,207
108,1,200
108,1,201
108,1,229
109,1,232
109,1,234
109,1,235
109,1,236
109,1,239
109,1,241
109,1,245
110,1,202
110,1,205
110,1,206
111,0,202
111,1,229
112,0,200
112,0,201
112,0,202
112,0,206
112,0,207
112,0,211
112,1,229
113,1,229
113,1,236
113,1,239
113,1,242
114,1,202
115,1,249
116,1,219
117,0,212
117,1,211
117,1,212
118,1,202
119,0,200
119,1,200
119,1,202
119,1,205
119,1,206
120,1,202
121,1,202
121,1,205
121,1,206
122,1,236
122,1,239
123,1,219
124,0,200
124,1,202
124,1,205
124,1,206
125,1,205
125,1,206
126,0,212
126,1,202
127,1,205
127,1,206
128,1,202
128,1,205
128,1,206
129,1,205
129,1,206
130,1,202
131,1,238
132,1,230
133,1,200
134,1,219
135,0,206
135,0,207
135,1,202
135,1,229
135,1,258
136,1,225
137,1,222
137,1,243
138,1,219
139,1,205
139,1,206
140,1,205
140,1,206
141,0,200
142,1,200
143,1,252
144,1,228
144,1,233
144,1,244
144,1,262
144,1,268
145,1,243
146,1,252
147,0,212
147,1,205
147,1,206
147,1,212
148,1,219
149,1,205
149,1,206
149,1,207
150,1,205
150,1,206
151,1,209
151,1,214
151,1,221
151,1,229
152,1,200
153,1,202
154,1,202
154,1,205
154,1,206
155,1,228
155,1,233
155,1,244
155,1,246
156,0,210
156,0,212
156,1,231
156,1,232
156,1,234
156,1,235
156,1,241
156,1,250
157,0,219
157,0,222
158,1,219
159,0,200
160,1,220
161,1,222
162,1,217
162,1,248
162,1,262
162,1,268
163,1,202
164,1,222
165,1,202
165,1,205
165,1,206
166,1,222
167,1,252
168,1,217
168,1,230
169,1,230
