TribeID,TribeName,TribeName2,TribeName3
100,Apache,,
101,Arapaho,,
102,Arikara,,
103,Bannock,,
104,British Band,,
105,Catawba,,
106,Cayuga,,
107,Cayuse,,
108,Cherokee,,
109,Cheyenne,Northern Cheyenne,
110,Chickamauga Cherokee,,
111,Chickasaw,,
112,Choctaw,,
113,Comanche Nation,,
114,Council of Three Fires,,
115,Crow people,,
116,Haida,,
117,Ho-Chunks,,
118,Illini Confederacy,,
119,Iroquois,,
120,Kaskaskia,,
121,Kickapoo,,
122,Kiowa,,
123,Klickitat,,
124,Lenape,,
125,Mascouten,,
126,Menominee,,
127,Meskwaki,,
128,Miami,,
129,Mingo,,
130,Mississaugas,,
131,Modoc,,
132,Mohave,,
133,Mohawk,,
134,Muckleshoot,,
135,Muscogee Creek,Muskogee Nation,
136,Navajo Nation,,
137,Nez Perce tribe,,
138,Nisqually,,
139,Odawa,,
140,Ojibway,,
141,Oneida,,
142,Onondaga,,
143,Opata,,
144,Paiute,,
145,Palouse,,
146,Pima,,
147,Potawatomi,,
148,Puyallup,,
149,Red Sticks,,
150,Sauk,,
151,Seminole,Seminole Nation,
152,Seneca,,
153,Seven Nations of Canada,,
154,Shawnee,,
155,Shoshone,,
156,Sioux,Dakota Sioux,Lakota
157,Snoqualmie,,
158,Tlingit,,
159,Tuscarora,,
160,Tututni,,
161,Umatilla tribe,,
162,Ute,,
163,Wabash Confederacy,,
164,Walla Walla tribe,,
165,Wyandot,,
166,Yakama,,
167,Yaqui,,
168,Yavapai,,
169,Yuma,,
