Year,SumWars,y
1775,1,0
1776,2,0
1777,2,0
1778,2,0
1779,2,0
1780,2,0
1781,2,0
1782,2,0
1783,2,0
1784,1,0
1785,2,0
1786,2,0
1787,2,0
1788,2,0
1789,2,0
1790,2,0
1791,2,0
1792,2,0
1793,2,0
1794,1,0
1795,1,0
1796,0,0
1797,0,0
1798,1,0
1799,1,0
1800,1,0
1801,1,0
1802,1,0
1803,1,0
1804,1,0
1805,1,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,1,0
1811,1,0
1812,2,0
1813,3,0
1814,2,0
1815,2,0
1816,0,0
1817,1,0
1818,1,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,1,0
1824,0,0
1825,0,0
1826,0,0
1827,1,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,1,0
1833,0,0
1834,0,0
1835,2,0
1836,2,0
1837,1,0
1838,1,0
1839,1,0
1840,1,0
1841,1,0
1842,1,0
1843,0,0
1844,0,0
1845,0,0
1846,1,0
1847,2,0
1848,2,0
1849,2,0
1850,2,0
1851,2,0
1852,2,0
1853,2,0
1854,3,0
1855,7,0
1856,7,0
1857,6,0
1858,7,0
1859,6,0
1860,5,0
1861,5,0
1862,5,0
1863,5,0
1864,6,0
1865,7,0
1866,5,0
1867,5,0
1868,5,0
1869,3,0
1870,3,0
1871,4,0
1872,4,0
1873,4,0
1874,4,0
1875,5,0
1876,3,0
1877,4,0
1878,3,0
1879,5,0
1880,2,0
1881,1,0
1882,1,0
1883,1,0
1884,1,0
1885,1,0
1886,1,0
1887,2,0
1888,1,0
1889,1,0
1890,2,0
1891,3,0
1892,2,0
1893,2,0
1894,1,0
1895,1,0
1896,2,0
1897,2,0
1898,4,0
1899,5,0
1900,5,0
1901,5,0
1902,4,0
1903,3,0
1904,3,0
1905,3,0
1906,3,0
1907,3,0
1908,3,0
1909,4,0
1910,4,0
1911,4,0
1912,6,0
1913,5,0
1914,6,0
1915,6,0
1916,6,0
1917,7,0
1918,8,0
1919,6,0
1920,5,0
1921,4,0
1922,4,0
1923,5,0
1924,4,0
1925,2,0
1926,2,0
1927,2,0
1928,2,0
1929,2,0
1930,2,0
1931,2,0
1932,2,0
1933,2,0
1934,1,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,1,0
1942,1,0
1943,1,0
1944,1,0
1945,1,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,1,0
1951,1,0
1952,1,0
1953,2,0
1954,1,0
1955,2,0
1956,2,0
1957,2,0
1958,3,0
1959,2,0
1960,2,0
1961,3,0
1962,2,0
1963,2,0
1964,2,0
1965,3,0
1966,4,0
1967,4,0
1968,4,0
1969,4,0
1970,3,0
1971,3,0
1972,3,0
1973,3,0
1974,3,0
1975,3,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,1,0
1983,2,0
1984,1,0
1985,0,0
1986,1,0
1987,1,0
1988,1,0
1989,1,0
1990,2,0
1991,2,0
1992,3,0
1993,3,0
1994,4,0
1995,4,0
1996,1,0
1997,1,0
1998,2,0
1999,2,0
2000,1,0
2001,2,0
2002,2,0
2003,3,0
2004,2,0
2005,2,0
2006,2,0
2007,3,0
2008,3,0
2009,4,0
2010,4,0
2011,6,0
2012,4,0
2013,4,0
2014,6,0
2015,7,0
2016,7,0
2017,6,0
2018,5,0
2019,5,0
2020,4,0
2021,4,0
